Q000577	1.1 = 1-2	2	5	1 2	Say to our king what the governor and temple administrator say:
Q000577	1.3 = 3-10	8	9	3 4 5 6 7 8 9 10	The three @fsux{šar} (i.e. 3,240 @fsux{iku}) of the field @wON{Dabta} are assigned for the benefit of @wDN{Enlil} @vart[t3305.1.v1,t3305.1.v1]{@varn{2 mss. add:} @wDN{, Ninlil} } and @wDN{Ninurta}. Of this, @varh[t3305.1.v2]{three @fsux{bur} (i.e. 54 @fsux{iku}) } @vart[t3305.1.v3,t3305.1.v2]{@varn{1 ms. has instead:} three @fsux{BURgunû} (i.e. 540 @fsux{iku}) } are the portion of the men in charge of the requisitions. @wPN{Iqbisum} and @wPN{Abī-qātī} have made a claim over one @fsux{bur} (i.e. 18 @fsux{iku}) at the bottom of the field. If our king consents, he should send a courier and should …… the instructions for doing the work and for the boundary stakes of the field.
Q000577	1.11 = 11-15	5	9	11 12 13 14 15	Two @fsux{iku} at its …… and the …… area facing the field have been hoed and worked upon. Workers, extra labourers, farmers, ox-drivers and ploughmen being unavailable, the field has been harrowed with single oxen and we do the work with hoes. Our king should know this.
Q000577	2.1 = 1-14	14	6	1 2 3 4 5 6 7 8 9 10 11 12 13 14	The three @fsux{šar} (i.e. 3,240 @fsux{iku}) of the field @wON{Meam} (Where-is-it?) are assigned for the benefit of @wDN{Enlil} and @wDN{Ninurta}. Of this, three @fsux{BURgunû} (i.e. 540 @fsux{iku}) are the portion of the men in charge of the requisitions. Two @fsux{iku} which are at its …… have been hoed and ……. Ploughmen are not available for work on a plot in the field. @wPN{Iqbisum} and @wPN{Abī-qātī} have made a claim against you. If my king consents, he should send a courier. They …… the instructions for doing the work and for the boundary stakes of the field.
